Location ID,Time,Recorder,Rec Count,Page,Segment,Direction,Count,Gender ,Age_Y,Age_O,Helmet,Wrong way,Sidewalk,Distracted,Pedestrian,Notes,Construction
110,AM,"Joe ""Okie"" OConnor",10,2,3,4,3,1,0,0,0,0,0,0,3,,
110,AM,"Joe ""Okie"" OConnor",10,2,4,1,0,0,0,0,0,0,0,0,0,,
110,AM,"Joe ""Okie"" OConnor",10,2,4,2,2,0,0,0,2,0,0,0,1,,
110,AM,"Joe ""Okie"" OConnor",10,2,4,3,0,0,0,0,0,0,0,0,0,,
110,AM,"Joe ""Okie"" OConnor",10,2,4,4,1,0,0,0,0,0,0,0,0,,
110,PM,Mark Tauber,11,1,1,1,,,,,,,,,,missed the first 15 minutes,
110,PM,Mark Tauber,11,1,1,2,,,,,,,,,,,
110,PM,Mark Tauber,11,1,1,3,,,,,,,,,,,
110,PM,Mark Tauber,11,1,1,4,,,,,,,,,,,
110,PM,Mark Tauber,11,1,2,1,,,,,,,,,,,
110,PM,Mark Tauber,11,1,2,2,,,,,,,,,1,,
110,PM,Mark Tauber,11,1,2,3,,,,,,,,,,,
110,PM,Mark Tauber,11,1,2,4,2,,,,2,,,,,,
110,PM,Mark Tauber,11,1,3,1,2,,,,1,,,,,,
110,PM,Mark Tauber,11,1,3,2,,,,,,,,,2,,
110,PM,Mark Tauber,11,1,3,3,2,,,,,,,,2,,
110,PM,Mark Tauber,11,1,3,4,,,,,,,,,,,
110,PM,Mark Tauber,11,1,4,1,,,,,,,,,,,
110,PM,Mark Tauber,11,1,4,2,2,1,,,,1,2,,,,
110,PM,Mark Tauber,11,1,4,3,,,,,,,,,,,
110,PM,Mark Tauber,11,1,4,4,,,,,,,,,,,
110,PM,Mark Tauber,11,2,1,1,2,,,,2,,,,1,,
110,PM,Mark Tauber,11,2,1,2,1,,,,1,,,,1,,
110,PM,Mark Tauber,11,2,1,3,,,,,,,,,,,
110,PM,Mark Tauber,11,2,1,4,,,,,,,,,,,
110,PM,Mark Tauber,11,2,2,1,,,,,,,,,2,,
110,PM,Mark Tauber,11,2,2,2,,,,,,,,,,,
110,PM,Mark Tauber,11,2,2,3,1,,,,1,1,1,,,,
110,PM,Mark Tauber,11,2,2,4,2,,,,1,,,,,,
110,PM,Mark Tauber,11,2,3,1,3,,,,2,1,1,,1,,
110,PM,Mark Tauber,11,2,3,2,1,,,,,,,,2,,
110,PM,Mark Tauber,11,2,3,3,,,,,,,,,4,,
110,PM,Mark Tauber,11,2,3,4,1,,,,,1,1,,4,,
